"total_expenditure","food_expenditure","education_expenditure","kerosene_expenditure","electricity_expenditure","kerosene_lamps","num_kerosene_lamps","kerosene_lamp_hours","kerosene_other","lighting_hours","child_lighting","adult_lighting","appliances","appliance_use","adult_activity","child_activity","satisfaction_reliability","satisfaction_cost","satisfaction_safety","satisfaction_brightness","satisfaction","satisfaction_chng","elec_value","satisfaction_business","income_increase","business_interest","aspirations","knowledge","distance","instrument","treat","gender","birthplace","age","religion","caste","education","homeBuilt","yrsConnected","elec_hours","Pole","hours_avail","outages","low_voltage","adult_home_work","adult_home_cook","adult_home_charge","adult_home_clean","adult_home_leisure","adult_home_time","lighting_business","lighting_friends_family","lighting_studying","lighting_reading","lighting_media","lighting_other","mobile","ic_bulb","cfl_bulb","led_light","tube_light","fans","iron","refrigerator","television","radio","cooler","washing_machine","electric_stove","inverter","water_pump","other","respond","total_expenditure_obs"
3000,2000,0,80,NA,1,3,2,0,0,0,0,2,7,3.66666666666667,0,3,2,2,3,2.6,3,50,NA,0,0,3.4,0.2,50,0,0,0,1,65,1,0,TRUE,10,NA,NA,1066,NA,NA,NA,4,3,0,3,2,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000
5000,1500,0,175,NA,1,3,5,0,0,0,0,0,0,4.5,0,3,2,3,2,2.4,4,70,NA,0,0,2.8,0,48,0,0,1,0,20,1,1,FALSE,35,NA,NA,1066,NA,NA,NA,5,2,0,1,1,18,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000
4000,3000,100,25,NA,1,2,2,0,0,0,0,3,7,3.5,2.14285714285714,1,3,2,2,2,3,100,NA,0,1,4,0.2,28,1,0,0,1,32,1,1,FALSE,30,NA,NA,1066,NA,NA,NA,4,2,0,2,1,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
10000,9000,0,117.5,0,1,2,5,0,0,0,0,2,2.3,4.83333333333333,0,2,2,2,1,1.6,3,300,NA,0,0,3.4,0,20,1,1,0,1,25,1,1,FALSE,NA,0.2,9.33333333333333,1066,9.33333333333333,13.3333333333333,11.6666666666667,9,0,0,1,9,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000
3500,3000,100,77.5,NA,1,1,4,0,0,0,0,2,9,4,2.42857142857143,4,2,1,3,2.6,3,50,NA,0,0,3.8,0.2,55,0,0,0,1,53,1,0,TRUE,20,NA,NA,1066,NA,NA,NA,7,3,0,3,3,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500
8000,7000,300,0,0,0,0,0,0,0.333333333333333,1,0,7,24.1,4.5,2,4,4,4,4,4,4,150,NA,0,1,3.2,0.2,23,1,1,0,1,68,1,0,FALSE,25,4,8,1007,8,5,4.33333333333333,8,2,1,2,2,12,0,0,0,0,0,2,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,8000
6000,5000,500,56,0,1,3,3,0,0,0,0,5,24,3.83333333333333,2.42857142857143,4,4,4,5,3.8,4,150,NA,0,1,3.2,0.2,21,1,1,0,1,45,1,0,FALSE,30,3,12.3333333333333,1007,12.3333333333333,6,3.33333333333333,6,2,0,2,3,10,0,0,0,0,0,0,NA,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6000
2500,2300,0,52,NA,1,2,4,0,0,0,0,0,0,2.33333333333333,0,4,2,4,4,3,5,0,NA,0,0,3.4,0,56,0,0,0,1,50,1,1,FALSE,10,NA,NA,1007,NA,NA,NA,2,1,0,1,0,10,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2500
5000,2500,500,33.8,0,1,2,3,0,0,1,0,4,16,4,2.28571428571429,4,4,4,4,3.8,4,100,NA,0,1,2.8,0.2,23,1,1,0,1,66,1,1,TRUE,NA,1,4.33333333333333,1009,4.33333333333333,15,9.33333333333333,2,3,0,0,5,14,0,0,0,0,0,0,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5000
4000,3000,0,50,NA,1,2,2,0,0,0,0,0,0,3,2.57142857142857,4,4,4,4,3.6,4,150,NA,0,1,2.4,0,25,1,0,0,1,25,1,1,FALSE,NA,NA,NA,1008,NA,NA,NA,2,1,0,1,2,12,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4000
